group_id,start_value,best_opt_value,best_opt_smiles,improvement,morgan_similarity,ged,ged_similarity
OC1CCCC1_b3133283_topK.csv,1.972556490131536,-2.1874546130315844,OC1C2=C1OO2,-4.160011103163121,0.1666666666666666,1.0,0.5
O[C@H]1CCOC1_070bdab3_topK.csv,1.8935705320669347,-3.494142540609511,ON1c2ooc21,-5.387713072676446,0.0833333333333333,1.0,0.5
CC(C)(C)CC#N_fee86b6b_topK.csv,0.8054738208385569,-5.035139800621248,N#CC1=NC12C#C2,-5.840613621459805,0.1111111111111111,9.0,0.1
CCNC(C)=O_3eaef30f_topK.csv,0.855336255799016,-3.913923019226619,O=C1C=C2CN1O2,-4.769259275025635,0.032258064516129,8.0,0.1111111111111111
C[C@@H](CO)CC=O_cf801cca_topK.csv,-0.9722688058527068,-3.4168617879366283,O=CC1=N[C@H]1COF,-2.4445929820839214,0.1142857142857142,5.0,0.1666666666666666
NC(=O)C#CCO_8e166eec_topK.csv,-0.8758272821401848,-3.8718092819554175,O=C(F)C#CC1=NO1,-2.995981999815233,0.1612903225806451,4.0,0.2
CC(O)(C=O)C=O_64b977da_topK.csv,-1.4970483947970503,-4.784175833858661,O=C1C(=O)C1(F)OF,-3.28712743906161,0.0416666666666666,7.0,0.125
CCOC(=O)C#N_38e10c4e_topK.csv,-2.2307679245972984,-4.1017894438863856,N#CC(=O)C1=NC1,-1.871021519289087,0.2857142857142857,5.0,0.1666666666666666
C[C@@H](O)CC#N_c413ffbc_topK.csv,0.65229734338421,-3.1116784744251973,N#CC1=N[C@H]1OF,-3.763975817809407,0.0967741935483871,5.0,0.1666666666666666
CC(C)C#CC#N_5add65d9_topK.csv,-0.7347995792349341,-2.930906596741389,N#CC#CC1N=N1,-2.1961070175064554,0.2608695652173913,5.0,0.1666666666666666
CCC(C)(C)CC_e35513fe_topK.csv,2.0555877582474467,-3.790133599024204,C1#CC2=C1C21C=C1,-5.84572135727165,0.0,13.0,0.0714285714285714
